location,label,km,kind,cutoffTime
Baigorri,Départ,0.0,Départ,2024-05-10 05:00:00
Jara,CP1,6.51,refueling,
Gaztigarlepo,CP2,19.4,refueling,
Col d’Ispeguy,CP3,31.29,refueling,2024-05-10 12:30:00
Auza,CP4,36.04,refueling,
Les Aldudes,CP5,45.23,refueling,2024-05-10 16:30:00
Urkiaga,CP6,59.37,refueling,
Adi,CP7,62.94,refueling,
Urepel,CP8,73.26,life base,2024-05-11 00:35:00
Lindus,CP9,85.75,refueling,
Ausai,CP10,88.93,refueling,2024-05-11 03:30:00
Ehuntzaroi,CP11,101.77,refueling,
Banca,CP12,110.03,refueling,2024-05-11 09:30:00
Col Ahartza,CP13,116.93,refueling,
Mubhoa,CP14,121.31,refueling,
Baigorri,Arrivée,130.06,refueling,2024-05-11 17:00:00
